date,fotovolt
30/01/2022,-1.4964237
30/01/2022,-8.607019
31/01/2022,264.65887
01/02/2022,26.176867
02/02/2022,7.1312237
03/02/2022,137.87894
05/02/2022,-2.2547693
06/02/2022,11.483786
08/02/2022,-9.484267
09/02/2022,320.80923
10/02/2022,176.64622
12/02/2022,-15.87168
13/02/2022,5.92772
14/02/2022,1.8935809
15/02/2022,-3.8097832
16/02/2022,10.571807
18/02/2022,-5.9808826
19/02/2022,229.59683
21/02/2022,-9.377918
22/02/2022,2.4679189
24/02/2022,258.9777
25/02/2022,-2.1265714
26/02/2022,2.8581805
28/02/2022,64.40693
01/03/2022,-12.870269
02/03/2022,87.861374
03/03/2022,-7.0788913
05/03/2022,10.211341
06/03/2022,0.007391214
08/03/2022,5.5838346
09/03/2022,-6.771343
