date,hidrocarburti
14/09/2021,1248.5515
15/09/2021,1195.2388
15/09/2021,1183.8672
15/09/2021,1195.2388
15/09/2021,1183.8672
16/09/2021,1242.4878
17/09/2021,1207.7346
18/09/2021,1188.16
19/09/2021,1050.534
20/09/2021,906.2719
20/09/2021,1231.046
20/09/2021,906.2719
20/09/2021,1231.046
21/09/2021,1064.4192
22/09/2021,1068.0686
23/09/2021,1352.9059
23/09/2021,1300.624
23/09/2021,1352.9059
23/09/2021,1300.624
24/09/2021,1132.0858
25/09/2021,1200.2965
26/09/2021,964.6904
27/09/2021,853.01807
27/09/2021,1070.3851
27/09/2021,853.01807
27/09/2021,1070.3851
28/09/2021,863.48126
29/09/2021,1228.7648
29/09/2021,1329.2185
29/09/2021,1228.7648
29/09/2021,1329.2185
30/09/2021,1184.3972
01/10/2021,1126.915
02/10/2021,1170.7053
02/10/2021,1103.791
02/10/2021,1170.7053
02/10/2021,1103.791
03/10/2021,860.57306
04/10/2021,850.9525
05/10/2021,1032.5096
05/10/2021,1175.7076
05/10/2021,1032.5096
05/10/2021,1175.7076
06/10/2021,1345.7753
07/10/2021,1377.5035
07/10/2021,1394.8405
07/10/2021,1377.5035
07/10/2021,1394.8405
08/10/2021,1144.1636
09/10/2021,1001.76105
10/10/2021,860.5954
10/10/2021,860.5954
10/10/2021,860.5954
10/10/2021,860.5954
11/10/2021,1091.7977
12/10/2021,1190.7449
13/10/2021,1271.3488
13/10/2021,1271.3488
13/10/2021,1271.3488
13/10/2021,1271.3488
14/10/2021,1209.8949
15/10/2021,1185.3157
16/10/2021,1246.5607
17/10/2021,1160.3615
17/10/2021,1183.6599
17/10/2021,1160.3615
17/10/2021,1183.6599
18/10/2021,1279.2189
19/10/2021,1289.6659
19/10/2021,1399.8256
19/10/2021,1289.6659
19/10/2021,1399.8256
20/10/2021,1352.8173
21/10/2021,1233.193
22/10/2021,1185.3157
23/10/2021,1176.4149
23/10/2021,1270.2233
23/10/2021,1176.4149
23/10/2021,1270.2233
24/10/2021,1138.4011
25/10/2021,1227.2162
26/10/2021,1416.3677
26/10/2021,1450.9327
