date,hidro
23/09/2021,1141.9474
23/09/2021,1140.7979
23/09/2021,1141.9474
23/09/2021,1140.7979
24/09/2021,1140.7979
25/09/2021,1031.4749
26/09/2021,1031.4749
27/09/2021,1140.7979
27/09/2021,1258.2144
27/09/2021,1140.7979
27/09/2021,1258.2144
28/09/2021,1211.9006
29/09/2021,1141.9474
29/09/2021,1140.7979
29/09/2021,1141.9474
29/09/2021,1140.7979
30/09/2021,1140.7979
01/10/2021,1141.9474
02/10/2021,1032.6244
02/10/2021,1032.6244
02/10/2021,1032.6244
02/10/2021,1032.6244
03/10/2021,1031.4749
04/10/2021,1140.7979
05/10/2021,1275.6227
05/10/2021,1213.0502
05/10/2021,1275.6227
05/10/2021,1213.0502
06/10/2021,1140.7979
07/10/2021,1191.1486
07/10/2021,1141.9474
07/10/2021,1191.1486
07/10/2021,1141.9474
08/10/2021,1140.7979
09/10/2021,1032.6244
10/10/2021,1031.4749
10/10/2021,1031.4749
10/10/2021,1031.4749
10/10/2021,1031.4749
11/10/2021,1140.7979
12/10/2021,1141.9474
13/10/2021,1141.9474
13/10/2021,1140.7979
13/10/2021,1141.9474
13/10/2021,1140.7979
14/10/2021,1140.7979
15/10/2021,1140.7979
16/10/2021,1032.6244
17/10/2021,1031.4749
17/10/2021,1031.4749
17/10/2021,1031.4749
17/10/2021,1031.4749
18/10/2021,1140.7979
19/10/2021,1141.9474
19/10/2021,1140.7979
19/10/2021,1141.9474
19/10/2021,1140.7979
20/10/2021,1140.7979
21/10/2021,1141.9474
22/10/2021,1140.7979
23/10/2021,1031.4749
23/10/2021,1031.4749
23/10/2021,1031.4749
23/10/2021,1031.4749
24/10/2021,1031.4749
25/10/2021,1140.7979
26/10/2021,1141.9474
26/10/2021,1140.7979
26/10/2021,1141.9474
26/10/2021,1140.7979
27/10/2021,1140.7979
28/10/2021,1140.7979
29/10/2021,1141.9474
30/10/2021,1032.6244
30/10/2021,1031.4749
30/10/2021,1032.6244
30/10/2021,1031.4749
31/10/2021,1031.4749
01/11/2021,1140.7979
02/11/2021,1140.7979
03/11/2021,1140.7979
04/11/2021,1140.7979
04/11/2021,1141.9474
04/11/2021,1140.7979
04/11/2021,1141.9474
05/11/2021,1140.7979
06/11/2021,1032.6244
07/11/2021,1031.4749
07/11/2021,1031.4749
07/11/2021,1031.4749
07/11/2021,1031.4749
08/11/2021,1140.7979
09/11/2021,1141.9474
09/11/2021,1140.7979
09/11/2021,1141.9474
09/11/2021,1140.7979
10/11/2021,1140.7979
11/11/2021,1141.9474
12/11/2021,1140.7979
12/11/2021,1141.9474
12/11/2021,1140.7979
12/11/2021,1141.9474
13/11/2021,1031.4749
14/11/2021,1031.4749
15/11/2021,1140.7979
15/11/2021,1141.9474
15/11/2021,1140.7979
15/11/2021,1141.9474
16/11/2021,1140.7979
17/11/2021,1140.7979
17/11/2021,1140.7979
17/11/2021,1140.7979
17/11/2021,1140.7979
18/11/2021,1140.7979
19/11/2021,1141.9474
20/11/2021,1032.6244
21/11/2021,1031.4749
22/11/2021,1140.7979
22/11/2021,1140.7979
22/11/2021,1140.7979
22/11/2021,1140.7979
23/11/2021,1140.7979
24/11/2021,1141.9474
25/11/2021,1141.9474
