temp,pot,,avg_t_200,,avg_t_100,,avg_p_100,,,t2,p2,,ta,ta100,,tp,tp50
71.276399,-1.069034,,70.3541409,,70.26175354,,-1.088743382,,,,-0.38809929,,72.635779,69.92070797,,-1.8548087,-1.857316572
73.058731,-1.0770267,,70.36263679,,70.27390236,,-1.088878055,,,,-0.38992918,,68.868257,69.8932478,,-1.8486243,-1.857517858
72.213552,-1.0794746,,70.33963633,,70.24633643,,-1.088820217,,,,-0.38955117,,69.020512,69.93960087,,-1.853432,-1.857787458
69.868839,-1.0784552,,70.31969862,,70.24594148,,-1.08874848,,,,-0.3927897,,69.112921,69.96721069,,-1.8573027,-1.858054542
69.14605,-1.0808682,,70.31256087,,70.26875293,,-1.088657216,,,,-0.39388314,,67.50058,69.96868231,,-1.8533338,-1.858060114
70.196418,-1.0877165,,70.31220011,,70.30209289,,-1.088548378,,,,-0.39378313,,69.642336,70.00538849,,-1.8559977,-1.858268296
71.314759,-1.0954953,,70.33012167,,70.33643707,,-1.088450376,,,,-0.39491302,,73.140892,70.02266582,,-1.8611103,-1.858461728
70.374982,-1.0980743,,70.34591799,,70.34021603,,-1.088327351,,,,-0.39281367,,69.905651,70.00394467,,-1.8471885,-1.85850526
71.203249,-1.1060118,,70.36670574,,70.34335649,,-1.088224067,,,,-0.39329,,70.715827,69.98078836,,-1.8465457,-1.858808646
67.380424,-1.1001782,,70.36445647,,70.31609666,,-1.088002412,,,,-0.39205617,,72.168499,69.92695663,,-1.8497958,-1.859432286
67.994232,-1.1055582,,70.37544831,,70.32650618,,-1.087830538,,,,-0.39346845,,70.392381,69.87151887,,-1.8445578,-1.860090232
67.220004,-1.1047495,,70.38589928,,70.35365483,,-1.087637115,,,,-0.39561183,,71.816994,69.91800996,,-1.8495507,-1.860698674
66.452093,-1.1001419,,70.41178654,,70.40179988,,-1.087442354,,,,-0.39214265,,72.977754,69.90526859,,-1.8543772,-1.861392792
69.549727,-1.1025305,,70.43416687,,70.47324377,,-1.087298019,,,,-0.39530028,,67.842876,69.88387864,,-1.8443453,-1.862002078
71.039072,-1.0990307,,70.44343498,,70.51505805,,-1.087118956,,,,-0.39451948,,71.418048,69.91024216,,-1.8607518,-1.862737068
72.742494,-1.0989232,,70.4455038,,70.53733465,,-1.086976344,,,,-0.39468969,,68.975784,69.90907463,,-1.860759,-1.863188768
69.318429,-1.0854873,,70.43017295,,70.51923304,,-1.086855797,,,,-0.39488683,,68.444047,69.93757822,,-1.8645727,-1.863576322
