date,consum_avg
2021-06-13,5653
2021-06-14,6918
2021-06-14,5030
2021-06-15,7247
2021-06-16,6320
2021-06-16,5921
2021-06-17,7128
2021-06-18,7456
2021-06-19,6512
2021-06-19,5404
2021-06-20,5548
2021-06-21,5966
2021-06-22,7508
2021-06-22,5039
2021-06-23,7774
2021-06-24,7985
2021-06-25,8221
2021-06-26,7025
2021-06-26,5586
2021-06-27,6200
2021-06-28,6755
2021-06-29,7788
2021-06-29,6161
2021-06-30,8406
2021-07-01,6742
2021-07-01,6017
2021-07-02,7336
2021-07-03,6725
2021-07-04,6321
2021-07-04,5043
2021-07-05,7374
2021-07-06,7623
2021-07-07,7685
2021-07-07,5748
2021-07-08,7849
2021-07-09,7721
2021-07-10,6905
2021-07-11,6337
2021-07-12,8087
2021-07-13,7642
2021-07-14,8108
2021-07-14,6089
2021-07-15,8471
2021-07-16,7063
2021-07-16,5958
2021-07-17,7178
2021-07-18,6241
2021-07-19,8226
2021-07-19,5463
2021-07-20,7928
2021-07-21,7303
2021-07-22,7316
2021-07-22,5800
2021-07-23,7674
2021-07-24,6594
2021-07-24,5554
2021-07-25,6141
2021-07-26,7437
2021-07-27,7973
2021-07-27,5835
2021-07-28,8743
2021-07-29,6248
2021-07-30,8173
2021-07-30,6718
2021-07-31,7231
2021-08-01,7089
2021-08-01,5464
2021-08-02,8418
2021-08-03,6783
2021-08-04,7787
2021-08-04,6115
2021-08-05,7963
2021-08-06,7036
2021-08-06,5723
2021-08-07,6590
2021-08-08,5587
2021-08-09,7633
2021-08-09,5283
2021-08-10,7853
2021-08-11,6548
2021-08-11,5814
2021-08-12,7534
2021-08-13,7393
2021-08-14,6489
2021-08-14,5414
2021-08-15,6319
2021-08-16,7666
2021-08-17,7764
2021-08-17,5517
2021-08-18,7319
2021-08-19,6885
2021-08-20,7053
2021-08-20,5560
2021-08-21,6583
2021-08-22,5857
2021-08-22,5027
2021-08-23,7506
2021-08-24,7369
2021-08-25,7569
2021-08-25,5590
2021-08-26,7391
2021-08-27,5974
2021-08-28,6282
2021-08-28,5841
2021-08-29,5811
2021-08-30,6396
2021-08-30,5267
2021-08-31,7067
2021-09-01,7155
2021-09-02,7399
2021-09-02,5544
2021-09-03,6885
2021-09-04,5808
2021-09-05,5690
2021-09-05,5223
2021-09-06,6913
2021-09-07,6001
2021-09-08,6638
2021-09-08,5923
2021-09-09,7028
2021-09-10,6994
2021-09-10,5395
2021-09-11,6122
2021-09-12,5462
2021-09-13,7048
2021-09-13,5085
2021-09-14,7013
2021-09-15,5986
2021-09-15,6235
2021-09-16,7254
2021-09-17,7064
2021-09-18,6590
2021-09-19,5073
2021-09-20,7584
2021-09-20,4946
2021-09-21,6989
2021-09-22,7537
2021-09-23,6158
2021-09-23,5574
2021-09-24,7257
2021-09-25,6187
2021-09-26,5513
2021-09-27,7672
2021-09-27,5166
2021-09-28,7473
2021-09-29,6207
2021-09-29,6173
2021-09-30,7170
2021-10-01,7254
2021-10-02,6977
2021-10-02,5551
2021-10-03,5407
2021-10-04,6939
2021-10-05,6941
2021-10-05,5659
2021-10-06,7313
2021-10-07,7244
2021-10-07,5696
2021-10-08,7343
2021-10-09,7070
2021-10-10,6204
2021-10-10,5314
2021-10-11,7520
2021-10-12,8072
2021-10-13,6923
2021-10-13,5892
2021-10-14,7547
2021-10-15,7688
2021-10-16,6495
2021-10-17,6889
2021-10-17,5653
2021-10-18,7749
2021-10-19,6554
2021-10-19,6067
2021-10-20,7073
2021-10-21,7081
2021-10-22,7721
2021-10-23,6505
2021-10-23,5676
2021-10-24,5718
2021-10-25,7727
2021-10-26,7276
2021-10-26,5779
2021-10-27,7561
2021-10-28,7304
2021-10-29,7953
2021-10-30,7540
2021-10-30,5896
2021-10-31,5956
2021-11-01,5748
2021-11-02,6085
2021-11-03,6085
2021-11-04,8012
2021-11-04,6018
2021-11-05,7524
2021-11-06,6180
2021-11-07,6888
2021-11-07,5504
2021-11-08,7505
2021-11-09,6535
2021-11-09,6223
2021-11-10,8442
2021-11-11,7857
2021-11-12,7180
2021-11-12,6266
2021-11-13,6922
2021-11-14,6183
2021-11-15,8188
2021-11-15,5532
2021-11-16,8034
2021-11-17,6749
2021-11-17,6667
2021-11-18,8185
2021-11-19,8021
2021-11-20,7304
2021-11-21,6344
2021-11-22,6408
2021-11-22,6414
2021-11-23,8478
2021-11-24,8349
2021-11-25,7905
2021-11-25,6249
2021-11-26,8356
2021-11-27,7338
2021-11-28,7110
2021-11-28,5741
2021-11-29,8066
2021-11-30,6394
2021-11-30,6113
2021-12-01,7598
2021-12-02,8447
2021-12-03,8193
2021-12-03,6155
2021-12-04,7500
2021-12-05,6237
2021-12-06,8774
2021-12-06,6055
2021-12-07,9019
2021-12-08,7757
2021-12-08,6515
2021-12-09,8628
2021-12-10,8905
2021-12-11,7857
2021-12-11,6372
2021-12-12,6796
2021-12-13,8137
2021-12-14,7148
2021-12-14,6382
2021-12-15,8914
2021-12-16,8966
2021-12-17,8953
2021-12-18,8047
2021-12-18,6452
2021-12-19,6936
2021-12-20,7945
2021-12-21,9198
2021-12-21,6827
2021-12-22,8677
2021-12-23,8248
2021-12-24,6549
2021-12-25,5557
2021-12-26,6329
2021-12-26,5337
2021-12-27,7577
2021-12-28,7844
2021-12-29,8166
2021-12-29,5923
2021-12-30,7868
2021-12-31,6315
2021-12-31,5894
2022-01-01,6181
2022-01-02,5704
2022-01-03,7399
2022-01-03,5228
2022-01-04,7470
2022-01-05,7928
2022-01-06,7974
2022-01-06,6101
2022-01-07,7848
2022-01-08,6795
2022-01-09,7402
2022-01-09,5963
2022-01-10,8738
2022-01-11,7048
2022-01-12,9206
2022-01-12,6792
2022-01-13,8988
2022-01-14,8075
2022-01-14,6718
2022-01-15,7421
2022-01-16,6807
2022-01-17,8073
2022-01-17,5954
2022-01-18,8465
2022-01-19,8926
2022-01-20,7430
2022-01-21,8564
2022-01-21,6375
2022-01-22,7780
2022-01-23,6127
2022-01-24,6034
2022-01-25,9061
2022-01-25,6353
2022-01-26,8950
2022-01-27,7118
2022-01-27,6933
2022-01-28,8225
2022-01-29,7823
2022-01-30,6834
2022-01-30,5942
2022-01-31,8120
2022-02-01,8540
2022-02-02,7865
2022-02-03,8107
2022-02-05,6173
2022-02-06,7041
2022-02-08,7881
2022-02-09,8507
2022-02-10,7427
2022-02-12,5899
2022-02-13,5647
2022-02-14,5533
2022-02-15,8021
2022-02-16,7799
2022-02-18,6010
2022-02-19,6745
2022-02-21,6380
2022-02-22,8179
2022-02-24,8178
2022-02-25,8104
2022-02-26,7413
2022-02-28,8448
2022-03-01,7537
2022-03-02,7781
2022-03-03,8033
2022-03-05,7205
2022-03-06,5962
