date,biomass
19/11/2021,67.73759
20/11/2021,67.73506
21/11/2021,65.58739
22/11/2021,70.537506
22/11/2021,71.16693
22/11/2021,70.537506
22/11/2021,71.16693
23/11/2021,72.63421
24/11/2021,73.63827
25/11/2021,71.72116
25/11/2021,75.25852
25/11/2021,71.72116
25/11/2021,75.25852
26/11/2021,76.56725
27/11/2021,74.76067
28/11/2021,66.99995
28/11/2021,65.12586
28/11/2021,66.99995
28/11/2021,65.12586
29/11/2021,67.316696
30/11/2021,68.32399
30/11/2021,69.03195
30/11/2021,68.32399
30/11/2021,69.03195
01/12/2021,70.00644
02/12/2021,71.51199
03/12/2021,66.96166
03/12/2021,68.02177
03/12/2021,66.96166
03/12/2021,68.02177
04/12/2021,69.5457
05/12/2021,65.22123
06/12/2021,67.41206
06/12/2021,69.5193
06/12/2021,67.41206
06/12/2021,69.5193
07/12/2021,67.77963
08/12/2021,68.61893
08/12/2021,71.51199
08/12/2021,68.61893
08/12/2021,71.51199
09/12/2021,70.14525
10/12/2021,70.07429
11/12/2021,71.56549
11/12/2021,69.5457
11/12/2021,71.56549
11/12/2021,69.5457
12/12/2021,66.321175
13/12/2021,70.36606
14/12/2021,68.87245
14/12/2021,69.12732
14/12/2021,68.87245
14/12/2021,69.12732
15/12/2021,68.63968
16/12/2021,63.84797
17/12/2021,67.832954
18/12/2021,70.64563
18/12/2021,70.64563
18/12/2021,70.64563
18/12/2021,70.64563
19/12/2021,65.01152
20/12/2021,69.58884
21/12/2021,71.7328
21/12/2021,77.11206
21/12/2021,71.7328
21/12/2021,77.11206
22/12/2021,71.88052
23/12/2021,72.431854
24/12/2021,76.294106
25/12/2021,73.2358
26/12/2021,67.03133
26/12/2021,63.50604
27/12/2021,66.70412
28/12/2021,69.479744
29/12/2021,72.06402
29/12/2021,71.14416
29/12/2021,72.06402
29/12/2021,71.14416
30/12/2021,69.957924
31/12/2021,68.08895
31/12/2021,61.40965
31/12/2021,68.08895
31/12/2021,61.40965
01/01/2022,63.541935
02/01/2022,59.761864
03/01/2022,63.22193
03/01/2022,63.568336
03/01/2022,63.22193
03/01/2022,63.568336
04/01/2022,63.275543
05/01/2022,64.95169
06/01/2022,63.189957
06/01/2022,66.143234
06/01/2022,63.189957
06/01/2022,66.143234
07/01/2022,63.272392
08/01/2022,65.27687
09/01/2022,60.530663
09/01/2022,62.457947
09/01/2022,60.530663
09/01/2022,62.457947
10/01/2022,64.15982
11/01/2022,67.32619
12/01/2022,64.923904
12/01/2022,68.95839
12/01/2022,64.923904
12/01/2022,68.95839
13/01/2022,68.03351
14/01/2022,68.49645
14/01/2022,72.309395
14/01/2022,68.49645
14/01/2022,72.309395
15/01/2022,70.020386
16/01/2022,65.4291
17/01/2022,66.49393
17/01/2022,69.31442
17/01/2022,66.49393
17/01/2022,69.31442
18/01/2022,66.30385
19/01/2022,74.28406
20/01/2022,72.35521
21/01/2022,71.389534
21/01/2022,72.309395
21/01/2022,71.389534
21/01/2022,72.309395
22/01/2022,69.75357
23/01/2022,66.54099
24/01/2022,66.65024
25/01/2022,66.364044
25/01/2022,71.02902
25/01/2022,66.364044
25/01/2022,71.02902
26/01/2022,66.50634
27/01/2022,67.858475
27/01/2022,70.481125
